事件id,事件名称,朝代,时期,年号,年份,事件简介,事件内容,检索词,事件类别,特征类别,一级地点,二级地点,相关人物,相关作品
265,季刚与友人共游玄武湖,现当代,现当代,,,季刚与友人共游玄武湖,第二年重阳节前一天，适值休沐，季刚先生和汪东、王易、汪辟疆、吴梅四先生共游玄武湖。湖上没有酒家，季刚先生事先做了准备，自“携酒蟹以往”。诸先生坐在洲山茶社里，“对钟山岚色，北里烟痕，荷凋柳黄，秋容凄凛，约连句填词一首，趁月而归，复开尊共酌，十时始散。瞿安度曲甚多。今日之游，极朋尊游赏之美己。”流连湖山，陶然诗酒，这种情景下的饮酒，意兴遄飞，最能显露性灵，挥洒才情。,美酒生涯,活动,人物+事件,南京,玄武湖,季刚、汪东、王辟疆、王易、吴梅四,
267,伯沆怒掷案上镫,现当代,现当代,,,伯沆酣酒之后，大醉三日，“怒掷案上镫”,围绕名字说了半天，是因为伯沆先生人如其名，名如其人。先生少年岐嶷，曾从江宁名宿高子安先生研习《说文解字》，尽得其传，高子安病逝前，即以所遗诗稿相托。早年就学南京钟山书院，出类拔萃，很受书院山长蕲春黄翔云爱重。弱冠之后，他豪放纵酒，经常“从友人饮酒赋诗，锦衣佩玉，跃马聚宝门外，见者目为王孙公子”。有一次酣酒之后，大醉三日，“怒掷案上镫”（钱堃新（《冬饮先生行述》，下同），差一点把书房烧掉了。先生从此戒酒。,沆瀣风流,作者事件,人物+事件,南京,钟山书院,伯沆、高子安、黄翔云,《说文解字》、《冬饮先生行述》
269,伯沆拜黄葆年为师,现当代,现当代,,,伯沆拜黄葆年为师,当时，太谷学派传人泰县黄葆年正在苏州十全街归群草堂聚众讲学，徒众至千余人。伯沆先生得知之后，专程到苏州登门拜谒，并拜黄葆年为师。那一年，他已年过不惑，早就是学府名宿，又是那么一种刚烈的性格，居然甘居人下，拜人为师，这一举动让周围的很多人感到惊讶，包括老朋友陈三立、世交黄季刚。但是，伯沆先生不改初衷，后来一有余闲，他就到苏州侍奉黄葆年，听其讲学。黄葆年知道伯沆先生性情刚烈，于是为他改字伯谦，希望他能柔退自守。自此以后，他的思想乃至他的性格都有了很大的改变。在兼融儒、佛、老、周（太谷）诸家学说的基础上，他提出“以佛治心，以老保身，以周经世，以孔教人”。这种独具特色的思想内涵，使他立身治学都卓异于时。,沆瀣风流,作者事件,人物+事件,苏州,十全街归群草堂,伯沆、黄葆年、陈三立、黄季刚,
270,伯沆登坛敷讲,现当代,现当代,,1915年,伯沆登坛敷讲，不要学校的聘书，一旦学校对其有任何不敬，他就准备拂袖而去。,民国四年（1915），江谦主持南京高等师范学校，亲自登门拜访，聘请伯沆先生出任教席。那时，他正任职于南京图书馆，镇日优游于善本珍籍之间，掇芳嘬脔，欲罢不能，在再三推辞不掉的情况下，他才答应登坛敷讲。不过，他提了一个与众不同的条件：他不要学校的聘书，一旦学校对其有任何不敬，他就准备拂袖而去。,沆瀣风流,作者事件,人物+事件,南京,南京高等师范学校、南京图书馆,伯沆、江谦,
274,东山携妓,晋,晋,,,诗人作诗述谢安东山携妓,"谢安瞄准了会稽东山，作为自己隐居蓄势之地。
当时的会稽郡，包括现在的杭州、绍兴、宁波一带，此地山水绝佳。著名画家顾恺之以艺术家的眼光考究一番后，回京后叹为观止：千岩竞秀，万壑争流，草木蒙笼其上，若云兴霞蔚。（《世说新语·言语》）书法家王献之从会稽过，亦称：从山阴道上行，山川自相映发，使人应接不暇。（《世说新语·言语》）会稽的首府是山阴（今绍兴），东山则在山阴东南，此地林木繁茂，清泉蜿蜒，波光粼粼的曹娥江从山前流过，景色幽美。不管当时北敌压境，庙堂风雨，谢安与王羲之及高阳许珣、桑门支遁游处，出则渔弋山水，入则言咏属文（《晋书·谢安传》）。他在东山还养有绝色的家妓，整夫莺歌燕舞，鬓影衣香，不知胡然为天胡然为地。诚如李白诗云：谢公东山三十春，傲然携妓出风尘。昔人还绘有《东山携妓图》以纪其盛。无疑，这种名士风流是颇令后世的封建文人神往的。李白、苏轼、辛弃疾这些旷代才人都为此写了很多赞美诗篇，王安石甚至在走访谢安遗迹后，颇为荣幸地写诗说：我名君字偶相同，一寄千古渴慕。",谢安,典故,文人+典故,绍兴,会稽东山；南京东山,谢安、王羲之、许珣、支遁,《东山携妓图》、《世说新语·言语》
278,刘勰梦孔子,南朝,齐,,,刘勰梦孔子遂作《文心雕龙》,他在定林寺一住就是十几年。那里有位高僧僧佑，学问精深，除佛经外还收藏了不少儒家经典。刘勰帮助僧佑整理佛经之余，一点尘心不死，痴迷儒家典籍。他自称：刚过三十岁，有一夜梦见了孔子。自己在梦中手捧红漆的礼器，随着孔子向南走。早上醒来，他回味这圣洁的梦境，非常高兴，以为圣人在向他招手，更坚定了著书立说宣扬儒学的决心。于是他提起笔来，开始写《文心雕龙》。这部书虽然标“梁通事舍人刘勰撰”，实际上是他在齐朝末年完成的。,刘勰,作品事件,文人+先贤+作品,南京,定林寺,刘勰、僧佑、孔子,《文心雕龙》
279,刘勰叩伏沈约,南朝,齐,,,刘勰等候沈悦献《文心雕龙》,他看到中书郎、黄门侍郎沈约当时无论从政还是治学都是声名赫赫，于是就背上自己写的书卷，装作一个货郎，站在街头等沈约外出时，在车前叩伏求见。沈约命人把《文心雕龙》取来，读后大为欣赏，常把这部书稿放在自己的几案上，刘勰也就跟着出名了。,刘勰,作品事件,文人+官员+作品,,,刘勰、沈约,《文心雕龙》
280,萧统编《文选》,南朝,梁,天监,519年,刘勰影响太子萧统编《文选》,刘勰在做东宫通事舍人时，有机会接近风雅的太子萧统。梁武帝天监十八年，因向萧衍上表有功，升任步兵校尉，掌管皇帝林园上林苑的警卫军，仍旧兼任通事舍人。萧统自幼喜欢文学，在他周围招引了一批文人学士。这时东宫藏书近三万卷，萧统常和文人学士讨论诗文，从事著述，并且由他亲自主持，编成了一部在中国文学史上影响巨大的诗文选集《文选》。而刘勰此时出入东宫，正是萧统所非常器重的人物，可以想象他的文学主张对于在萧统主持下编选《文选》是很有影响的。实际上，《文心雕龙》的论文标准与《文选》的选文标准互为表里，这是很多前辈学人所指出的。,刘勰,作品事件,文人+皇室+作品,,,刘勰、萧统,《文选》、《文心雕龙》
281,刘勰出家,南朝,梁,,,刘勰受武帝整理经卷命令影响立誓出家,几十年后，僧佑死去，其晚期收藏的经卷很多，需要整理，而对于这些佛经最熟悉的在当时莫过于刘勰了。于是武帝命令刘勰又回到定林寺和慧震和尚一块整理经卷。在整理佛经的过程中，刘勰信佛益笃，编辑完工之后，他便申请出家做和尚，并且先烧掉自己的鬓发，立誓非出家不可。经武帝准许，刘勰遂在定林寺脱去官服，换上僧袍，改名慧地，做了和尚。,刘勰,作者事件,文人+文学+事件,南京,定林寺,刘勰、僧佑、武帝、慧震和尚,
282,刘勰作碑文,南朝,梁,,,刘勰做碑志与碑文，如《灭惑论》，《梁建安王造剡山石城寺石像碑》,刘勰精通佛理。在他成名以后，南京的很多寺院都请他做碑志，有名的佛教大师死后，也请他撰写碑文。可惜刘勰的文集已经散失，现存的除《文心雕龙》一书外，只剩下后期的两篇文章：一篇是《灭惑论》，显示他一方面信教，主张“神不灭论”；一方面还利用儒家学说来宣传佛教教义。另一篇是《梁建安王造剡山石城寺石像碑》。,刘勰,作品事件,文人+文学+作品,南京,,刘勰,《文心雕龙》、《灭惑论》、《梁建安王造剡山石城寺石像碑》
283,左思创作《三都赋》,汉,汉;晋,,,左思呕心沥血创作《三都赋》,"在汉代，辞赋蔚为大观，士人都穷力为之，于壮丽阔伟的章句中展露自己丰赡的学识、多学科的学养与文学的才华。左思生当晋初，当然亦承汉之余绪。于是他决定撰写《三都赋》。“三都”者，魏、蜀、吴的都城。消息传开后，大家都以为左思写不出这样的鸿篇巨制。文豪陆机给弟弟陆云写信尖刻地说∶“闻此间伧父欲作三都赋，及其成，当覆酒瓮耳。”伧父，就是乡巴佬。陆机预料，左思即使写出来所谓《三都赋》，也只是废纸一叠，只可用来盖盖酒坛子而已。
面对讥讽和打击，左思却不为所动。他构思这篇大文章，下的工夫很大。如他对蜀中情况不太了解，就特地找到著作郎张载去请教。他在家中到处放上纸笔，连厕所也不例外，只要想到好句子，便马上写出来。他穷十年心血，才把《三都赋》写出来。",左思,作品事件,文人+文学+作品,,,左思、张载、陆机、陆云,《三都赋》
300,孔稚圭创作《北山移文》,南朝,齐,,,孔稚圭创作《北山移文》的背景,又如南齐周颙曾隐居北山（即钟山），自视清高，博得美誉。后又应召任海盐令，任期满后入京，将路过北山，孔稚圭便写了著名的《北山移文》，假托北山神灵谴责周颙，对当时“身在江海之上，心居魏阙之下”，伪作清高而趋名嗜利的假隐士的丑态作了辛辣的嘲讽。,孔稚圭,作品事件,文人+官员+作品,南京,钟山,孔稚圭、周颙,《北山移文》
307,坦腹东床,晋,晋,,,坦腹东床一词的来源,太尉郗鉴有一爱女，想与丞相王导家联姻。王导应允后，叫子弟都到乌衣巷王府东厢房候选。当时正是炎夏，王氏子弟都穿戴整齐，肃立东厢。郗鉴派来的使者相完亲后向郗鉴汇报说：王家子侄都不错，个个衣冠楚楚，风度翩翩，恭恭敬敬地站在东厢候选，唯独有一人，在东床上披衣而坐，袒露着肚子，自顾吃东西，满不在乎这次挑选大事。郗鉴听了点头笑着说：从此子举止来看，不同流俗，正是我理想的‘东床快婿’！一打听，正是王羲之，于是就把爱女嫁给了他。这就是成语坦腹东床的由来。,王羲之,典故,文人+官员+典故,南京,乌衣巷,王羲之、王导、郗鉴,
318,“拟陶”“和陶”题材出现,晋,晋,,,出现“拟陶”“和陶”题材,从南朝文人鲍照、江淹作了学陶体的诗歌以后，历代“拟陶”、“和陶”相沿成风，除唐代诗人王维、孟浩然、储光羲、韦应物等是陶渊明田园诗传统的直接继承者外，历代有成就的诗人都表示过对其诗文的企羡。,陶渊明,作者事件,文人+作品,,,陶渊明、鲍照、江淹、王维、孟浩然、储光羲、韦应物,
322,画龙点睛,南朝,梁,,,画龙点睛一典的来源,又《历代名画记》说，张僧繇在金陵安乐寺画了四条白龙，不点眼睛，说：点睛即飞去。大家以为妄诞，坚持要张点睛。僧繇刚点睛二龙，须臾雷电破壁，两龙乘云腾去上天，二龙未点眼者现在。,张僧繇,典故,典故,金陵,安乐寺,张僧繇,
323,陈后主与《玉树后庭花》,南朝,陈,,,玉树后庭花一典的来源,统一在陈氏的江东政权之下。兼之后主陈叔宝是个有名的荒淫天子，他耽于酒色，不恤政事，常使宠爱的美人张丽华、孔贵嫔等八人夹坐，江总、孔范等十人参与饮宴，为狎客，在《玉树后庭花》的靡靡乐曲中昏沉岁月。,陈后主,典故,皇族+典故,江东,,陈后主、张丽华、孔贵嫔、江总、孔范,《玉树后庭花》
327,南京文化守成主义传统受到质疑,现当代,现当代,,1924年,新文学支持者和北方新文学阵营反驳顾实提倡的南京文化守成主义,针对北方学者试图以“科学方法”来“整理国故”的研究思路，东南大学学者认为“以国故理董国故”的理论更有现实意义，所谓的科学方法整理国故多半沦为断章取义、哗众取宠，甚而导致文化面貌不中不西、不伦不类，“以国故理董国故者，明澈过去之中国人，为古装华服，或血统纯粹之中国人者也。而以科学理董国故者，造成现在及未来之中国人，为变服西装，或华洋合婚之中国人也。” 顾实还提出开设“诗文部”以提倡旧体诗文的写作。他认为文学是时代精神的体现，民族精神往往体现在诗文创作中，并对国家社会的发展起到积极作用，甚至影响国家兴衰存亡。这是中国传统学人之诗流脉的延伸，诗人之诗的深层扩展，也是南京文化守成主义传统的明确体现。这种倡议受到东南大学的新文学支持者和北方新文学阵营的反驳。1924年3月27、29日《晨报副镌》上周作人（陶然）发表了《国学院之不通》和《国故与复辟》，针对“诗文部”的设立价值，“国学”与“国故”的谬误进行反驳。1924年3月30日《晨报?副镌》刊出了天军的《评〈东南大学国学院整理国学计划书〉》，对其分类和一系列解释提出质疑。1924年4月17日《晨报?副镌》署名Z.M.的《顾实先生之妙文》对顾实整理国学的方法大加批驳。,南京文化守成主义,作品事件,事件,南京,,周作人、顾实,《国学院之不通》、《国故与复辟》、《顾实先生之妙文》
